title,url,time,source,file_type,file_type_2
外事文化宣传品申领流程及标准,https://oic.ustc.edu.cn/download/%e5%a4%96%e4%ba%8b%e6%96%87%e5%8c%96%e5%ae%a3%e4%bc%a0%e5%93%81%e7%94%b3%e9%a2%86%e6%b5%81%e7%a8%8b%e5%8f%8a%e6%a0%87%e5%87%86/,2020-9-3,国际合作与交流部,来访文档,
新闻报道申报及审核流程,https://oic.ustc.edu.cn/download/%e6%96%b0%e9%97%bb%e6%8a%a5%e9%81%93%e7%94%b3%e6%8a%a5%e5%8f%8a%e5%ae%a1%e6%a0%b8%e6%b5%81%e7%a8%8b/,2020-9-3,国际合作与交流部,来访文档,
因公临时出访回国人员恢复工资申请表,https://oic.ustc.edu.cn/wp-content/uploads/2023/01/因公临时出访回国人员恢复工资申请表.doc,2023-1-9,国际合作与交流部,出境文档,
英文派遣书模板（加收入且需签字版）,https://oic.ustc.edu.cn/download/%e8%8b%b1%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%ef%bc%88%e5%8a%a0%e6%94%b6%e5%85%a5%e4%b8%94%e9%9c%80%e7%ad%be%e5%ad%97%e7%89%88%ef%bc%89/,2021-9-10,国际合作与交流部,出境文档,
中文派遣书模板（加收入且需签字版）,https://oic.ustc.edu.cn/download/%e4%b8%ad%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%ef%bc%88%e5%8a%a0%e6%94%b6%e5%85%a5%e4%b8%94%e9%9c%80%e7%ad%be%e5%ad%97%e7%89%88%ef%bc%89/,2021-9-10,国际合作与交流部,出境文档,
英文派遣书模板,https://oic.ustc.edu.cn/download/%e8%8b%b1%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%e6%a8%a1%e6%9d%bf/,2021-9-10,国际合作与交流部,出境文档,
中文派遣书模板,https://oic.ustc.edu.cn/download/%e4%b8%ad%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%e6%a8%a1%e6%9d%bf/,2021-9-10,国际合作与交流部,出境文档,
中国科学技术大学参加线上国际会议事后公示总结表,https://oic.ustc.edu.cn/download/%e4%b8%ad%e5%9b%bd%e7%a7%91%e5%ad%a6%e6%8a%80%e6%9c%af%e5%a4%a7%e5%ad%a6%e5%8f%82%e5%8a%a0%e7%ba%bf%e4%b8%8a%e5%9b%bd%e9%99%85%e4%bc%9a%e8%ae%ae%e4%ba%8b%e5%90%8e%e5%85%ac%e5%bc%8f%e6%80%bb%e7%bb%93/,2021-7-22,国际合作与交流部,出境文档,
线上国际会议审批表,https://oic.ustc.edu.cn/download/10018-2/,2021-3-9,国际合作与交流部,出境文档,
中国科学技术大学因公出访事后公示表,https://oic.ustc.edu.cn/download/%e4%b8%ad%e5%9b%bd%e7%a7%91%e5%ad%a6%e6%8a%80%e6%9c%af%e5%a4%a7%e5%ad%a6%e5%9b%a0%e5%85%ac%e5%87%ba%e8%ae%bf%e4%ba%8b%e5%90%8e%e5%85%ac%e7%a4%ba%e8%a1%a8/,2020-9-3,国际合作与交流部,出境文档,
中国科学技术大学因公出访事前公示表,https://oic.ustc.edu.cn/download/%e4%b8%ad%e5%9b%bd%e7%a7%91%e5%ad%a6%e6%8a%80%e6%9c%af%e5%a4%a7%e5%ad%a6%e5%9b%a0%e5%85%ac%e5%87%ba%e8%ae%bf%e4%ba%8b%e5%89%8d%e5%85%ac%e7%a4%ba%e8%a1%a8/,2020-9-3,国际合作与交流部,出境文档,
因公临时出国人员备案表,https://oic.ustc.edu.cn/download/%e5%9b%a0%e5%85%ac%e4%b8%b4%e6%97%b6%e5%87%ba%e5%9b%bd%e4%ba%ba%e5%91%98%e5%a4%87%e6%a1%88%e8%a1%a8/,2020-9-3,国际合作与交流部,出境文档,
